tconst	titleType	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes	directors	writers	person	oscarNominations	oscarWins
tt0115751	movie	Breaking the Waves	Breaking the Waves	1996	153	Drama	7.8	73744	nm0001885	nm0001885,nm0039576,nm0685168	"(nm0001833,actress,[""Bess McNeill""]),(nm0001745,actor,[""Jan Nyman""]),(nm0001020,actress,[""Dodo McNeill""]),(nm0000852,actor,[""Terry""]),(nm0712628,actor,[""Dr. Richardson""]),(nm0352470,actor,[""Priest""]),(nm0900806,actress,[""Mother""]),(nm0001424,actor,[""Sadistic Sailor""]),(nm0310167,actor,[""Pits""]),(nm0706416,actor,[""Pim""])"	1	0
tt0115753	short	Breathing Lessons: The Life and Work of Mark O'Brien	Breathing Lessons: The Life and Work of Mark O'Brien	1996	35	Documentary,Short	7.7	165	nm0950506	nm0950506		1	1
tt0115817	short	Canhead	Canhead	1996	8	Animation,Fantasy,Short	6.5	236	nm0386972	nm0386972		1	0
tt0115952	short	Cosmic Voyage	Cosmic Voyage	1996	36	Documentary,Short	7.5	802	nm0798078	nm0798078,nm0591160,nm0091244	"(nm0000151,actor,[""Narrator""])"	1	0
tt0115988	movie	The Crucible	The Crucible	1996	124	Drama,History	6.8	41549	nm0405336	nm0007186	"(nm0000358,actor,[""John Proctor""]),(nm0000213,actress,[""Abigail Williams""]),(nm0006890,actor,[""Judge Thomas Danforth""]),(nm0000260,actress,[""Elizabeth Proctor""]),(nm0001117,actor,[""Reverend Parris""]),(nm0132808,actor,[""Reverend Hale""]),(nm0000470,actor,[""Thomas Putnam""]),(nm0891092,actor,[""Giles Corey""]),(nm0336304,actress,[""Mary Warren""]),(nm0940128,actress,[""Tituba""])"	2	0
tt0116040	movie	Daylight	Daylight	1996	114	Action,Adventure,Drama	6.0	78847	nm0003418	nm0092018	"(nm0000230,actor,[""Kit Latura""]),(nm0000312,actress,[""Madelyne Thompson""]),(nm0001557,actor,[""Roy Nord""]),(nm0000445,actor,[""Frank Kraft""]),(nm0761587,actor,[""Steven Crighton""]),(nm0949744,actress,[""Sarah Crighton""]),(nm0001954,actress,[""Eleanor Trilling""]),(nm0068599,actress,[""Grace Calloway""]),(nm0763632,actor,[""Mikey""]),(nm0288929,actor,[""Roger Trilling""])"	1	0
tt0116044	short	De tripas, corazón	De tripas, corazón	1996	16	Comedy,Short	7.1	189	nm0882100	nm0882100	"(nm0001990,actress,[""Meifer""]),(nm0001990,actress,[""prostitute""]),(nm0305558,actor,[""Martín""]),(nm0022993,actor,[""Jesús""]),(nm0650495,actress,[""Denise""]),(nm0954967,actor,[""Don Chon""]),(nm0094649,actress,[""Leonor""]),(nm0510847,actor,[""Chente""]),(nm0306034,actor,[""Don Miguel""]),(nm0689028,actor,[""Ruletas""]),(nm0412496,actor,[""Roberto""])"	1	0
tt0116058	short	Dear Diary	Dear Diary	1996	22	Comedy,Short	6.1	139	nm0291205	nm0291205	"(nm0001564,actress,[""Annie""]),(nm0450116,actor,[""Tom""]),(nm0798816,actress,[""Sara""]),(nm0022883,actor,[""Griffin""]),(nm0823563,actor,[""Fritz""]),(nm0606584,actress,[""Christie""]),(nm0349749,actor,[""Erik""]),(nm0293326,actress,[""Elizabeth""]),(nm0089796,actor,[""Ron""]),(nm0318487,actor,[""Gary""])"	1	1
tt0116136	movie	DragonHeart	DragonHeart	1996	103	Action,Adventure,Fantasy	6.4	103763	nm0003418	nm0425957,nm0688279	"(nm0000598,actor,[""Bowen""]),(nm0000125,actor,[""Draco""]),(nm0000539,actress,[""Kara""]),(nm0000592,actor,[""Gilbert""]),(nm0000667,actor,[""Einon""]),(nm0005042,actor,[""Felton""]),(nm0859921,actor,[""Brok""]),(nm0642969,actor,[""Young Einon""]),(nm0160106,actor,[""Hewe""]),(nm0642324,actor,[""Redbeard""])"	1	0
tt0116191	movie	Emma	Emma	1996	120	Comedy,Drama,Romance	6.6	42967	nm0569790	nm0000807,nm0569790	"(nm0000569,actress,[""Emma Woodhouse""]),(nm0181920,actor,[""Mr Weston""]),(nm0000627,actress,[""Mrs Weston""]),(nm0001086,actor,[""Mr Elton""]),(nm0370410,actor,[""Mr Woodhouse""]),(nm0860724,actress,[""Miss Bates""]),(nm0000562,actor,[""Mr Knightley""]),(nm0001057,actress,[""Harriet Smith""]),(nm0126402,actress,[""Mrs Goddard""]),(nm0492373,actress,[""Mrs Bates""])"	2	1
