tconst	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes	directors	writers	person
tt8115900	The Bad Guys	The Bad Guys	2022	100	Adventure,Animation,Comedy	6.8	66631	nm2010048	nm0085109,nm1000113	"(nm0005377,actor,[""Wolf""]),(nm0549505,actor,[""Snake""]),(nm5377144,actress,[""Tarantula""]),(nm0732497,actor,[""Shark""]),(nm6588867,actor,[""Piranha""]),(nm1547964,actor,[""Professor Marmalade""]),(nm5939164,actress,[""Diane Foxington aka The Crimson Paw""]),(nm0097504,actress,[""Police Chief Misty Luggins""]),(nm6530360,actress,[""Tiffany Fluffit""]),(nm0329361,actress,[""Old Lady""])"
tt8141908	Free! Take your Marks	Tokubetsuban Free!: Take Your Marks	2017	100	Animation,Drama,Sport	7.2	287	nm2507381	nm0948410	"(nm1364905,actor,[""Nagisa""]),(nm1364905,actor,[""Nagisa""]),(nm5261299,actress,[""Additional Voices""]),(nm5261299,actress,[""Additional Voices""]),(nm5261299,actress,[""Veronica""]),(nm5261299,actress,[""Veronica""]),(nm7577807,actress,[""Misaki""]),(nm7577807,actress,[""Misaki""]),(nm0097765,actor,[""Makoto""]),(nm0097765,actor,[""Makoto""]),(nm5157463,actor,[""Uozumi""]),(nm5157463,actor,[""Uozumi""]),(nm5021400,actor,[""Natsuya""]),(nm5021400,actor,[""Natsuya""]),(nm8002676,actor,[""Additional Voices""]),(nm8002676,actor,[""Additional Voices""]),(nm8002676,actor,[""David""]),(nm8002676,actor,[""David""]),(nm10041599,actor,[""Ikuya Kirishima""]),(nm10041599,actor,[""Ikuya Kirishima""]),(nm1708798,actress,[""Amakata""]),(nm1708798,actress,[""Amakata""]),(nm8931550,actress,[""Additional Voices""]),(nm8931550,actress,[""Additional Voices""])"
tt8161726	Crystal Skies of Yesterday	Zuo ri qing kong	2018	82	Animation,Romance	6.5	311	nm9709838	nm9709839	
tt8161914	City Hunter: Shinjuku Private Eyes	City Hunter: Shinjuku Private Eyes	2019	95	Action,Animation,Comedy	6.4	878	nm1829961,nm4515899,nm1562522	nm0405783,nm0441419	"(nm0436776,actor,[""Ryo Saeba""]),(nm0407557,actress,[""Kaori Makimura""]),(nm0038290,actress,[""Saeko Nogami (as Harumi Ichiryûsai)""]),(nm0312656,actor,[""Umibozu""]),(nm0468708,actress,[""Miki""]),(nm5619822,actress,[""Ai Shindo""]),(nm0865078,actress,[""Hitomi Kisugi""]),(nm0865078,actress,[""Rui Kisugi""]),(nm0757076,actress,[""Ai Kisugi""]),(nm0945514,actress,[""Kazue Natori""]),(nm0946295,actor,[""Gen""])"
tt8173728	The Wolf House	La casa lobo	2018	75	Animation,Drama,Horror	7.5	5315	nm4860666,nm4860365	nm3450186,nm4860666,nm4860365	"(nm8404408,actress,[""María""]),(nm8404408,actress,[""Ana""]),(nm8404408,actress,[""Pedro""]),(nm3018234,actor,[""Wolf""]),(nm11037059,actress,[""Introduction""]),(nm12752723,actor,[""Introduction""]),(nm4735158,actress,[""Introduction""]),(nm12752724,actor,[""Introduction""]),(nm12752725,actress,[""Introduction""])"
tt8176578	Flavors of Youth	Si shi qing chun	2018	74	Animation,Drama,Romance	6.6	9157	nm9717486,nm3357091,nm6157250	\N	"(nm7403141,actor,[""Xiaoming (original Mandarin version)""]),(nm9940378,actor,[""Shaomin (segment: Hidamari no Choshoku)""]),(nm0253528,actress,[""Grandma""]),(nm0253528,actress,[""Grandma""]),(nm3573347,actor,[""Various""]),(nm3573347,actor,[""Various""]),(nm0293342,actor,[""Xiao Ming""]),(nm0293342,actor,[""Xiao Ming""]),(nm5337560,actress,[""Shiaoyu (segment: Shanghai Koi)""]),(nm2540995,actress,[""Young Shaomin (segment: Hidamari no Choshoku)""]),(nm6446676,actor,[""Yi Lin's boyfriend""]),(nm6446676,actor,[""Yi Lin's boyfriend""]),(nm6446676,actor,[""Additional Voices""]),(nm6446676,actor,[""Additional Voices""]),(nm2964162,actress,[""Irin (segment: Chiisana Fashion Show)""]),(nm5213224,actress,[""Xiao Yu""]),(nm5213224,actress,[""Xiao Yu""])"
tt8223844	Modest Heroes	Chiisana eiyû: Kani to tamago to tômei ningen	2018	53	Adventure,Animation,Family	6.6	3360	nm1077423,nm9313608,nm1091767,nm0948488	nm1077423,nm1091767,nm0948488	"(nm7858309,actress,\N),(nm7858309,actress,\N),(nm0223740,actress,\N),(nm0223740,actress,\N),(nm5411494,actress,\N),(nm5411494,actress,\N),(nm1920556,actor,[""Dad""]),(nm1920556,actor,[""Dad""]),(nm1920556,actor,[""Doctor (segment \""Life Ain't Gonna Lose\"")""]),(nm1920556,actor,[""Doctor (segment \""Life Ain't Gonna Lose\"")""]),(nm1512156,actress,\N),(nm1512156,actress,\N),(nm6919993,actor,[""Shun (segment \""Life Ain't Gonna Lose\"")""]),(nm6919993,actor,[""Shun (segment \""Life Ain't Gonna Lose\"")""]),(nm4545868,actress,[""Additional voices""]),(nm2400341,actress,[""Kanîni (segment \""Kanîni to Kanîno\"")""]),(nm6949652,actress,\N),(nm6949652,actress,\N),(nm0523180,actor,[""Sato (segment \""Invisible\"")""]),(nm0523180,actor,[""Sato (segment \""Invisible\"")""])"
tt8241000	Extinct	Extinct	2021	84	Adventure,Animation,Comedy	5.5	3657	nm0798899,nm0675442	nm1121389,nm0295791,nm0493858,nm5156552,nm3648630	"(nm2796745,actor,[""Ed""]),(nm3417385,actress,[""Op""]),(nm0421822,actor,[""Clarance""]),(nm5939164,actress,[""Dottie""]),(nm1812944,actor,[""Burnie""]),(nm0001573,actress,[""Alma""]),(nm2551886,actor,[""Hoss""]),(nm2551886,actor,[""Ernest Shackleton""]),(nm0001857,actor,[""Jepson""]),(nm0097504,actress,[""Mali""]),(nm0938950,actor,[""Dr. Chung""])"
tt8253812	Ville Neuve	Ville Neuve	2018	76	Animation,Drama	6.2	51	nm2894555	nm2894555	"(nm0482516,actor,[""Joseph""]),(nm0871928,actress,[""Emma""]),(nm6829691,actor,[""Ulysse""]),(nm0747027,actor,[""Edouard""]),(nm0014133,actor,[""Le tenancier""])"
tt8255452	The Snow Queen 4: Mirrorlands	Snezhnaya koroleva. Zazerkalje	2018	84	Adventure,Animation,Comedy	5.6	660	nm0501729,nm6230142	nm7327028,nm0501729,nm6229764,nm6230142,nm6230144	"(nm6263313,actor,[""Kay""]),(nm2428881,actor,[""Orm""]),(nm1529042,actress,[""Troll Kid""]),(nm1529042,actress,[""Troll Kid""]),(nm1529042,actress,[""Maribel""]),(nm1529042,actress,[""Maribel""]),(nm1529042,actress,[""Additional Voices""]),(nm1529042,actress,[""Additional Voices""]),(nm6836443,actress,[""Lina""]),(nm6836443,actress,[""Lina""]),(nm6836443,actress,[""Troll Grandma""]),(nm6836443,actress,[""Troll Grandma""]),(nm6836443,actress,[""Additional Voices""]),(nm6836443,actress,[""Additional Voices""]),(nm9267818,actress,[""Alfida""]),(nm9267818,actress,[""Alfida""]),(nm1462031,actor,[""Kai""]),(nm1462031,actor,[""Kai""]),(nm1462031,actor,[""Admiral""]),(nm1462031,actor,[""Admiral""]),(nm1462031,actor,[""Additional Voices""]),(nm1462031,actor,[""Additional Voices""]),(nm7713907,actor,[""Rollan""]),(nm7713907,actor,[""Rollan""]),(nm5943997,actress,[""Gerda""]),(nm5943997,actress,[""Gerda""]),(nm6094498,actress,[""Snow Queen""]),(nm6094498,actress,[""Snow Queen""]),(nm6094498,actress,[""Troll Kid""]),(nm6094498,actress,[""Troll Kid""]),(nm2195192,actress,[""Pirate Boss Lady""]),(nm2195192,actress,[""Pirate Boss Lady""])"
tt8259916	The Last Guest	The Last Guest	2017	90	Action,Adventure,Animation	6.3	1239	nm9762716	nm9762716	"(nm11651554,actress,[""News Reporter #2""]),(nm0016141,actor,[""Additional Voices""]),(nm0016141,actor,[""Additional Voices""]),(nm0018646,actor,[""Additional Voices""]),(nm0018646,actor,[""Additional Voices""]),(nm0029460,actor,[""Additional Voices""]),(nm0029460,actor,[""Additional Voices""]),(nm10592449,actor,[""Rose's Mother""]),(nm10293810,actor,[""Bacon Soldier""]),(nm0071818,actor,[""Additional Voices""]),(nm0071818,actor,[""Additional Voices""]),(nm0074036,actor,[""Additional Voices""]),(nm0074036,actor,[""Additional Voices""]),(nm0141831,actor,[""Additional Voices""]),(nm0141831,actor,[""Additional Voices""]),(nm9834145,actor,[""Soldier 2""])"
tt8276896	King Shakir: Let the Game Begin	Kral Sakir: Oyun Zamani	2018	84	Adventure,Animation,Comedy	5.3	404	nm8696427,nm4504144	nm8696427,nm2619200	"(nm6503935,actor,[""Sakir""]),(nm1816529,actor,[""Remzi""]),(nm1320929,actor,[""Necati""]),(nm2383845,actress,[""Canan""]),(nm9424316,actress,[""Kadriye""])"
tt8286670	Calamity of a Zombie Girl	Aru Zonbi Shoujo no Sainan	2018	79	Animation,Fantasy,Horror	5.3	136	nm2878573	nm5932717,nm1062445	"(nm2977461,actress,[""Euphrosyne Studion""]),(nm4289479,actress,[""Yui Minagawa""]),(nm4107371,actress,[""Noriko Sudo""]),(nm7139972,actor,[""Hiroshi Azuma""]),(nm0611212,actor,[""Miyake""]),(nm4033859,actress,[""Alma V""]),(nm1328076,actress,[""Sayaka Kamoshida""]),(nm1647539,actress,[""Mako Takanashi""]),(nm0837523,actor,[""Syuichirou Takanashi""]),(nm2134328,actor,[""Masahiro Abe""])"
