tconst	titleType	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes	directors	writers	person	oscarNominations	oscarWins
tt0489342	movie	Which Way Home	Which Way Home	2009	90	Documentary	7.8	1224	nm1095640	\N	nan	1	0
tt1315981	movie	A Single Man	A Single Man	2009	99	Drama,Romance,Thriller	7.5	120108	nm1053530	nm0410877,nm1053530,nm3179694	"(nm0000147,actor,[""George""]),(nm0000194,actress,[""Charley""]),(nm0328828,actor,[""Jim""]),(nm0396558,actor,[""Kenny""]),(nm2392852,actor,[""Carlos""]),(nm3268697,actress,[""Alva""]),(nm1364532,actress,[""Jennifer Strunk""]),(nm0329481,actress,[""Mrs. Strunk""]),(nm1146243,actor,[""Mr. Strunk""]),(nm2984287,actor,[""Christopher Strunk""])"	1	0
tt0327597	movie	Coraline	Coraline	2009	100	Animation,Drama,Family	7.8	282876	nm0783139	nm0783139,nm0301274	"(nm0266824,actress,[""Coraline Jones""]),(nm0000159,actress,[""Mel Jones""]),(nm0000159,actress,[""Other Mother""]),(nm0000159,actress,[""Beldam""]),(nm1894655,actor,[""Charlie Jones""]),(nm1894655,actor,[""Other Father""]),(nm0766837,actress,[""Miss April Spink""]),(nm0766837,actress,[""Other Spink""]),(nm0294067,actress,[""Miss Miriam Forcible""]),(nm0294067,actress,[""Other Forcible""]),(nm0202966,actor,[""The Cat""]),(nm0047121,actor,[""Wyborne 'Wybie' Lovat""]),(nm0574534,actor,[""Mr. Sergei Alexander Bobinsky""]),(nm0574534,actor,[""Other Bobinsky""]),(nm3274463,actress,[""Sweet Ghost Girl""]),(nm3275474,actor,[""Ghost Boy""])"	1	0
tt0499549	movie	Avatar	Avatar	2009	162	Action,Adventure,Fantasy	7.9	1427566	nm0000116	nm0000116	"(nm0941777,actor,[""Jake Sully""]),(nm0757855,actress,[""Neytiri""]),(nm0000244,actress,[""Dr. Grace Augustine""]),(nm0735442,actress,[""Trudy Chacón""]),(nm0002332,actor,[""Colonel Miles Quaritch""]),(nm0000610,actor,[""Parker Selfridge""]),(nm0601376,actor,[""Norm Spellman""]),(nm0001634,actress,[""Mo'at""]),(nm0836071,actor,[""Eytukan""]),(nm0022306,actor,[""Tsu'tey""])"	9	3
tt1149362	movie	The White Ribbon	Das weiße Band - Eine deutsche Kindergeschichte	2009	144	Drama,Mystery,Thriller	7.8	79644	nm0359734	nm0359734	"(nm3041056,actor,[""Lehrer""]),(nm0414272,actor,[""Die Stimme des alten Lehrers""]),(nm2914059,actress,[""Eva""]),(nm0876300,actor,[""Baron""]),(nm0488053,actress,[""Baronin""]),(nm3653747,actor,[""Sigi""]),(nm2947895,actor,[""Hauslehrer""]),(nm0458460,actor,[""Pfarrer""]),(nm0478165,actress,[""Frau des Pfarrers""]),(nm2661864,actress,[""Klara""])"	2	0
tt1523317	short	The Lady and the Reaper (La dama y la muerte)	The Lady and the Reaper (La dama y la muerte)	2009	8	Action,Animation,Comedy	7.2	2734	nm3639868	nm3639868	"(nm2169499,actor,[""Death""]),(nm2169499,actor,[""Doctor""]),(nm2169499,actor,[""Dog""]),(nm3829624,actress,[""Lady""]),(nm3829624,actress,[""Nurses""]),(nm3829624,actress,[""Dog""])"	1	0
tt1319726	movie	The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers	The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers	2009	92	Documentary	7.7	2458	nm1155102,nm0326124	nm2612601,nm0326124,nm1155102,nm0151434	nan	1	0
tt1313104	movie	The Cove	The Cove	2009	92	Biography,Crime,Documentary	8.4	52280	nm2694309	nm0598531	nan	1	1
tt1054606	movie	The Imaginarium of Doctor Parnassus	The Imaginarium of Doctor Parnassus	2009	123	Adventure,Comedy,Fantasy	6.8	155770	nm0000416	nm0000416,nm0571650	"(nm0001626,actor,[""Doctor Parnassus""]),(nm2178959,actress,[""Valentina""]),(nm0005132,actor,[""Tony""]),(nm1940449,actor,[""Anton""]),(nm1478846,actor,[""Martin""]),(nm0529098,actress,[""Martin's Girlfriend""]),(nm2202439,actor,[""Friend of Martin""]),(nm0873942,actor,[""Percy""]),(nm2646478,actor,[""Face Changed Martin""]),(nm0364890,actor,[""Policeman""])"	2	0
tt1055369	movie	Transformers: Revenge of the Fallen	Transformers: Revenge of the Fallen	2009	149	Action,Adventure,Sci-Fi	6.0	440842	nm0000881	nm0472567,nm0649460,nm0476064	"(nm0479471,actor,[""Sam Witwicky""]),(nm1083271,actress,[""Mikaela Banes""]),(nm0241049,actor,[""Major Lennox""]),(nm0879085,actor,[""USAF Chief Master Sergeant Epps""]),(nm0001806,actor,[""Simmons""]),(nm1913125,actor,[""Leo Spitz""]),(nm0242656,actor,[""Ron Witwicky""]),(nm0925033,actress,[""Judy Witwicky""]),(nm1456970,actress,[""Alice""]),(nm0382632,actor,[""Galloway""])"	1	0
